qid2	sid_hash	group
1	ca04a1	late_solver
2	1245bf	late_solver
3	b5c803	late_solver
4	1833ce	late_solver
5	2e8ec7	late_solver
6	c9e275	unrated
7	4ae018	late_solver
8	c23ac3	pd_guesser
9	b26711	late_solver
10	a5148a	unrated
11	847f08	late_solver
12	783c6f	pd_guesser
13	80cc0e	late_solver
14	1460a0	late_solver
15	6ffc51	unrated
16	880ada	late_solver
17	1af36d	late_solver
18	e41709	late_solver
19	654deb	late_solver
20	976a3e	unrated
21	c87080	late_solver
22	fd56d9	late_solver
23	c30fcd	pd_guesser
24	7be1e0	late_solver
25	04163c	unrated
26	bc967f	pd_guesser
27	2a326c	pd_guesser
28	2583d8	unrated
29	4e726b	pd_guesser
30	7f6076	pd_guesser
31	c81753	late_solver
32	406960	late_solver
33	138639	unrated
34	5b2d0e	unrated
35	41a490	unrated
36	9ac645	pd_guesser
37	5c8a8c	late_solver
38	177f2c	unrated
39	3a34a5	pd_guesser
40	b3b8b2	late_solver
41	34fbed	pd_guesser
